ja en
ja_位置 en_position
ja_以下 en_below
ja_マン en_mann
ja_卒業 en_graduated
ja_卒業 en_graduating
ja_卒業 en_graduation
ja_人物 en_person
ja_文庫 en_bunko
ja_公開 en_public
ja_公開 en_publish
ja_北海道 en_hokkaido
ja_北海道 en_hokkaidō
ja_最終 en_last
ja_最終 en_final
ja_アニメ en_anime
ja_確認 en_confirmation
ja_確認 en_confirm
ja_一般 en_general
ja_歴史 en_history
ja_選挙 en_election
ja_選挙 en_elections
ja_計画 en_planned
ja_計画 en_planning
ja_計画 en_plan
ja_計画 en_plans
ja_経済 en_economies
ja_経済 en_economy
ja_ページ en_page
ja_ページ en_pages
ja_教授 en_professor
ja_記念 en_kinen
ja_ラジオ en_radio
ja_劇場 en_theater
ja_劇場 en_theatre
ja_グループ en_group
ja_グループ en_groups
ja_英語 en_english
ja_女性 en_woman
ja_女性 en_female
ja_女性 en_women
ja_地区 en_district
ja_獲得 en_earn
ja_得点 en_score
ja_コメント en_comment
ja_コメント en_commenting
ja_コメント en_commented
ja_コメント en_comments
ja_漫画 en_comics
ja_漫画 en_manga
ja_他の en_others
ja_自身 en_herself
ja_就任 en_assumption
ja_廃止 en_abolished
ja_廃止 en_abolition
ja_販売 en_selling
ja_販売 en_sales
ja_攻撃 en_attacks
ja_攻撃 en_attack
ja_サッカー en_soccer
ja_リー en_lee
ja_議員 en_senator
ja_全国 en_nationwide
ja_デビュー en_debut
ja_協会 en_association
ja_路線 en_routes
ja_フジ en_fuji
ja_自分 en_myself
ja_戦争 en_war
ja_戦争 en_wars
ja_製作 en_production
ja_部分 en_part
ja_高校 en_highschool
ja_番号 en_number
ja_当初 en_initially
ja_最初 en_first
ja_受賞 en_awards
ja_受賞 en_award
ja_期間 en_duration
ja_期間 en_period
ja_広島 en_hiroshima
ja_場所 en_place
ja_場所 en_location
ja_場所 en_places
ja_技術 en_technology
ja_海軍 en_navy
ja_リンク en_link
ja_リンク en_links
ja_合併 en_merger
ja_合併 en_mergers
ja_または en_or
ja_道路 en_roads
ja_道路 en_road
ja_特定 en_specific
ja_特定 en_specified
ja_朝日 en_asahi
ja_意味 en_meaning
ja_意味 en_meanings
ja_システム en_system
ja_システム en_systems
ja_モデル en_models
ja_モデル en_model
ja_対応 en_correspondence
ja_列車 en_train
ja_列車 en_trains
ja_建設 en_construction
ja_とき en_when
ja_最後 en_last
ja_科学 en_science
ja_理由 en_reasons
ja_理由 en_reason
ja_そして en_and
ja_一つ en_one
ja_大正 en_taisho
ja_大正 en_taishō
ja_最高 en_best
ja_ブロック en_blocks
ja_ブロック en_block
ja_車両 en_vehicles
ja_車両 en_vehicle
ja_自動車 en_car
ja_自動車 en_automobile
ja_人口 en_populations
ja_人口 en_population
ja_特に en_particularly
ja_特に en_especially
ja_営業 en_business
ja_発生 en_occurrence
ja_新聞 en_newspaper
ja_新聞 en_newspapers
ja_連続 en_continuity
ja_連続 en_continuous
ja_政府 en_government
ja_構成 en_configuration
ja_構成 en_composition
ja_構成 en_structure
ja_構成 en_configurations
ja_最大 en_maximum
ja_最大 en_largest
ja_キャラクター en_character
ja_キャラクター en_characters
ja_小説 en_novel
ja_小説 en_novels
ja_それぞれ en_each
ja_機関 en_organs
ja_機関 en_institution
ja_機関 en_institutions
ja_参照 en_reference
ja_参照 en_references
ja_参照 en_referencing
ja_メンバー en_member
ja_メンバー en_members
ja_発行 en_issued
ja_発行 en_issuing
ja_発行 en_issuance
ja_発行 en_issue
ja_画像 en_images
ja_画像 en_picture
ja_画像 en_image
ja_画像 en_pictorial
ja_状態 en_state
ja_状態 en_condition
ja_名称 en_denomination
ja_名称 en_name
ja_名称 en_names
ja_ダム en_dam
ja_ホーム en_home
ja_運行 en_operation
ja_投稿 en_post
ja_投稿 en_posts
ja_投稿 en_posting
ja_名前 en_name
ja_名前 en_names
ja_福岡 en_fukuoka
ja_施設 en_facilities
ja_施設 en_institution
ja_施設 en_facility
ja_調査 en_surveys
ja_調査 en_investigation
ja_調査 en_survey
ja_製造 en_manufactured
ja_イタリア en_italy
ja_ロシア en_russian
ja_ロシア en_russia
ja_独立 en_independent
ja_独立 en_independence
ja_物語 en_monogatari
ja_物語 en_story
ja_物語 en_narrative
ja_神社 en_shrines
ja_神社 en_shrine
ja_神社 en_jinja
ja_企画 en_planning
ja_サン en_san
ja_名古屋 en_nagoya
ja_通常 en_normally
ja_通常 en_usually
ja_企業 en_enterprise
ja_航空 en_aviation
ja_航空 en_air
ja_スーパー en_super
ja_帝国 en_empire
ja_トン en_tonne
ja_トン en_tons
ja_トン en_ton
ja_トン en_tonnes
ja_影響 en_influence
ja_影響 en_influences
ja_勝利 en_victories
ja_勝利 en_win
ja_勝利 en_wins
ja_勝利 en_victory
ja_勝利 en_winning
ja_デザイン en_designs
ja_デザイン en_design
ja_デザイン en_designing
ja_全て en_everything
ja_本社 en_headquarters
ja_人間 en_human
ja_千葉 en_chiba
ja_アン en_anne
ja_アン en_ang
ja_アン en_ann
ja_交通 en_traffic
ja_交通 en_transportation
ja_交通 en_transport
ja_組織 en_organization
ja_組織 en_organisation
ja_構造 en_structures
ja_構造 en_structure
ja_戦い en_battle
ja_実施 en_implementation
ja_ここ en_here
ja_以前 en_formerly
ja_以前 en_before
ja_サービス en_services
ja_サービス en_service
ja_統合 en_consolidate
ja_統合 en_integrated
ja_統合 en_merge
ja_統合 en_integration
ja_統合 en_integrations
ja_テーマ en_themes
ja_テーマ en_theme
ja_面積 en_area
ja_エンジン en_engine
ja_エンジン en_engines
ja_主演 en_starring
ja_ビル en_bill
ja_日本語 en_japanese
ja_契約 en_contracts
ja_契約 en_contract
ja_設定 en_preferences
ja_設定 en_settings
ja_設定 en_setup
ja_設定 en_configuration
ja_設定 en_configure
ja_ライブ en_live
ja_含む en_contains
ja_含む en_includes
ja_含む en_including
ja_専門 en_expertise
ja_専門 en_specialized
ja_機能 en_function
ja_機能 en_features
ja_機能 en_feature
ja_機能 en_functionality
ja_身長 en_height
ja_所在地 en_locations
ja_所在地 en_location
ja_完成 en_completion
ja_表記 en_notation
ja_運転 en_driving
ja_写真 en_photo
ja_写真 en_photography
ja_写真 en_photograph
ja_写真 en_picture
ja_関連 en_relevant
ja_関連 en_related
ja_書店 en_bookstore
ja_高い en_high
ja_高い en_tall
ja_高い en_expensive
ja_生産 en_production
ja_横浜 en_yokohama
ja_上の en_above
ja_宇宙 en_universe
ja_管理 en_management
ja_管理 en_manage
ja_バー en_bars
ja_バー en_bar
ja_ジョン en_john
ja_部隊 en_troop
ja_公園 en_park
ja_公園 en_parks
ja_スポーツ en_sport
ja_スポーツ en_sports
ja_脚本 en_screenplay
ja_脚本 en_script
ja_目的 en_objectives
ja_目的 en_aims
ja_目的 en_purpose
ja_目的 en_objective
ja_生活 en_life
ja_カード en_cards
ja_カード en_card
ja_基本 en_fundamentals
ja_基本 en_basics
ja_基本 en_basic
ja_新潟 en_niigata
ja_女優 en_actresses
ja_女優 en_actress
ja_不明 en_unknown
ja_タイトル en_titles
ja_タイトル en_title
ja_政治 en_politics
ja_電気 en_electricity
ja_電気 en_electric
ja_警察 en_police
ja_作成 en_create
ja_作成 en_creation
ja_作成 en_created
ja_ガン en_gun
ja_予定 en_scheduled
ja_予定 en_planned
ja_スター en_star
ja_経営 en_management
ja_自由 en_freedom
ja_自由 en_liberty
ja_自由 en_free
ja_自由 en_freedoms
ja_過去 en_past
ja_陸軍 en_army
ja_運営 en_operation
ja_愛知 en_aichi
ja_表示 en_view
ja_社長 en_president
ja_社長 en_presidents
ja_団体 en_organizations
ja_団体 en_organization
ja_工業 en_industrial
ja_通り en_street
ja_外部 en_external
ja_通信 en_correspondence
ja_通信 en_communication
ja_通信 en_communications
ja_アル en_al
ja_俳優 en_actors
ja_俳優 en_actress
ja_俳優 en_actor
ja_スペシャル en_special
ja_少年 en_boy
ja_病院 en_hospital
ja_病院 en_hospitals
ja_結婚 en_marriage
ja_結婚 en_marriages
ja_個人 en_personal
ja_個人 en_individual
ja_個人 en_individuals
ja_区間 en_interval
ja_銀行 en_banking
ja_銀行 en_bank
ja_研究所 en_institute
ja_主に en_mainly
ja_主に en_primarily
ja_学園 en_gakuen
ja_彼女 en_she
ja_ニュース en_news
ja_その他 en_other
ja_その他 en_others
ja_ソフト en_soft
ja_文学 en_literature
ja_能力 en_ability
ja_なし en_none
ja_なし en_without
ja_江戸 en_edo
ja_学者 en_scholar
ja_学者 en_scholars
ja_国内 en_domestic
ja_空港 en_airport
ja_空港 en_airports
ja_ヨーク en_york
ja_高速 en_fast
ja_言語 en_languages
ja_言語 en_language
ja_設計 en_design
ja_韓国 en_korea
ja_リリース en_release
ja_リリース en_releases
ja_ベスト en_vest
ja_ベスト en_best
ja_現代 en_contemporary
ja_会議 en_conference
ja_会議 en_meetings
ja_会議 en_meeting
ja_バンド en_band
ja_バンド en_bands
ja_追加 en_add
ja_追加 en_adds
ja_追加 en_append
ja_成功 en_successful
ja_成功 en_success
ja_移動 en_move
ja_移動 en_moving
ja_オリンピック en_olympics
ja_国民 en_national
ja_国民 en_nation
ja_ファン en_fans
ja_ファン en_fan
ja_すべて en_everything
ja_すべて en_all
ja_山口 en_yamaguchi
ja_運動 en_exercise
ja_運動 en_movement
ja_環境 en_environment
ja_環境 en_environments
ja_発足 en_inauguration
ja_大きな en_big
ja_競技 en_competition
ja_会長 en_chairperson
ja_会長 en_chairman
ja_ヨーロッパ en_europe
ja_紹介 en_introduction
ja_紹介 en_referral
ja_形式 en_form
ja_工場 en_factories
ja_工場 en_factory
ja_相手 en_opponent
ja_戦闘 en_battle
ja_戦闘 en_combat
ja_労働 en_labour
ja_労働 en_labor
ja_事務所 en_office
ja_限定 en_limited
ja_データ en_data
ja_作戦 en_operation
ja_オリジナル en_originality
ja_オリジナル en_original
ja_オリジナル en_originals
ja_可能性 en_possibilities
ja_可能性 en_possible
ja_可能性 en_possibility
ja_演出 en_staging
ja_種類 en_kinds
ja_種類 en_type
ja_種類 en_types
ja_文字 en_character
ja_文字 en_characters
ja_大統領 en_president
ja_協力 en_cooperation
ja_指導 en_guidance
ja_判断 en_judgement
ja_判断 en_judgment
ja_連邦 en_federation
ja_ネット en_net
ja_ネット en_nets
ja_共和国 en_republic
ja_引退 en_retire
ja_引退 en_retiring
ja_引退 en_retired
ja_部門 en_department
ja_産業 en_industry
ja_決勝 en_final
ja_プロデューサー en_producers
ja_プロデューサー en_producer
ja_系統 en_lineage
ja_誕生 en_births
ja_誕生 en_birth
ja_指揮 en_command
ja_指揮 en_commanding
ja_レース en_race
ja_レース en_racing
ja_レース en_lace
ja_静岡 en_shizuoka
ja_郵便 en_mail
ja_神奈川 en_kanagawa
ja_岡山 en_okayama
ja_埼玉 en_saitama
ja_項目 en_entries
ja_カップ en_cups
ja_カップ en_cup
ja_ラン en_run
ja_レイ en_ray
ja_移転 en_transfer
ja_移転 en_relocation
ja_ほぼ en_almost
ja_ほぼ en_nearly
ja_交差点 en_intersection
ja_イベント en_events
ja_イベント en_event
ja_競馬 en_horseracing
ja_異なる en_different
ja_異なる en_differing
ja_神戸 en_kobe
ja_カー en_kerr
ja_出典 en_sources
ja_出典 en_source
ja_関西 en_kansai
ja_ほとんど en_almost
ja_行動 en_behaviour
ja_行動 en_behavioural
ja_行動 en_behavior
ja_行動 en_behavioral
ja_重要 en_important
ja_プロジェクト en_project
ja_プロジェクト en_projects
ja_九州 en_kyūshū
ja_九州 en_kyushu
ja_電車 en_train
ja_電車 en_trains
ja_建築 en_architecture
ja_クラス en_classes
ja_クラス en_class
ja_導入 en_introduction
ja_アジア en_asia
ja_全体 en_overall
ja_全体 en_whole
ja_全体 en_entire
ja_タイ en_thailand
ja_タイ en_tai
ja_タイ en_ty
ja_普通 en_ordinary
ja_普通 en_normal
ja_一人 en_one
ja_長野 en_nagano
ja_施行 en_enforced
ja_舞台 en_stages
ja_舞台 en_stage
ja_一方 en_meanwhile
ja_スペイン en_spain
ja_意見 en_opinion
ja_意見 en_opinions
ja_再び en_again
ja_発見 en_discovering
ja_発見 en_discover
ja_発見 en_discovery
ja_鈴木 en_suzuki
ja_ローマ en_roman
ja_ローマ en_rome
ja_ローマ en_roma
ja_保護 en_protecting
ja_保護 en_protect
ja_保護 en_protection
ja_少女 en_girl
ja_少女 en_shōjo
ja_試験 en_examination
ja_試験 en_exam
ja_試験 en_exams
ja_多数 en_many
ja_多数 en_numerous
ja_反対 en_against
ja_反対 en_opposite
ja_きく en_ets
ja_作家 en_authors
ja_作家 en_writer
ja_作家 en_writers
ja_作家 en_author
ja_地球 en_earth
ja_方法 en_method
ja_特徴 en_characteristics
ja_特徴 en_features
ja_特徴 en_feature
ja_特徴 en_characteristic
ja_ベース en_base
ja_ベース en_bass
ja_男性 en_male
ja_男性 en_men
ja_男性 en_man
ja_ケース en_case
ja_ケース en_cases
ja_子供 en_kids
ja_子供 en_children
ja_子供 en_child
ja_以来 en_since
ja_福島 en_fukushima
ja_大臣 en_minister
ja_大臣 en_ministers
ja_オープン en_open
ja_兵庫 en_hyogo
ja_コーナー en_corner
ja_取締役 en_director
ja_取締役 en_directors
ja_人気 en_popular
ja_人気 en_popularity
ja_評価 en_rating
ja_評価 en_ratings
ja_評価 en_evaluation
ja_評価 en_rate
ja_評価 en_assessment
ja_説明 en_explanation
ja_説明 en_explain
ja_説明 en_description
ja_装備 en_equipment
ja_ドル en_dollars
ja_ドル en_dollar
ja_投票 en_vote
ja_投票 en_voting
ja_雑誌 en_magazine
ja_雑誌 en_magazines
ja_熊本 en_kumamoto
ja_グランド en_grand
ja_学科 en_department
ja_学科 en_departments
ja_パー en_par
ja_専用 en_dedicated
ja_登録 en_register
ja_登録 en_signup
ja_登録 en_registrations
ja_登録 en_registration
ja_佐藤 en_sato
ja_田中 en_tanaka
ja_ソン en_sơn
ja_ステージ en_stages
ja_ステージ en_stage
ja_沖縄 en_okinawa
ja_ゲスト en_guest
ja_ゲスト en_guests
ja_学生 en_students
ja_学生 en_student
ja_周辺 en_surroundings
ja_周辺 en_periphery
ja_言葉 en_word
ja_言葉 en_words
ja_教会 en_churches
ja_教会 en_church
ja_内閣 en_cabinet
ja_整備 en_maintenance
ja_主張 en_claim
ja_主張 en_assertion
ja_主張 en_allegation
ja_ロック en_lock
ja_ロック en_rock
ja_事故 en_accident
ja_事故 en_accidents
ja_分類 en_category
ja_分類 en_categorization
ja_分類 en_classifications
ja_分類 en_categories
ja_分類 en_classification
ja_状況 en_circumstance
ja_状況 en_situations
ja_状況 en_situation
ja_状況 en_circumstances
ja_中村 en_nakamura
ja_連載 en_serialized
ja_家族 en_family
ja_距離 en_distance
ja_距離 en_distances
ja_表現 en_representation
ja_表現 en_expression
ja_表現 en_representations
ja_仙台 en_sendai
ja_新しい en_new
ja_ホール en_hole
ja_ホール en_hall
ja_体重 en_weight
ja_血液 en_blood
ja_同意 en_consent
ja_同意 en_agreed
ja_これらの en_these
ja_由来 en_origin
ja_平均 en_average
ja_平均 en_mean
ja_事実 en_facts
ja_事実 en_fact
ja_店舗 en_stores
ja_店舗 en_shops
ja_店舗 en_store
ja_カテゴリ en_category
ja_カテゴリ en_categories
ja_メートル en_meters
ja_メートル en_metre
ja_メートル en_metres
ja_芸術 en_arts
ja_芸術 en_art
ja_主人公 en_protagonist
ja_複数 en_multiple
ja_複数 en_plural
ja_観光 en_tourism
ja_観光 en_tourist
ja_観光 en_sightseeing
ja_取得 en_claim
ja_取得 en_retrieve
ja_取得 en_fetch
ja_王国 en_kingdom
ja_電話 en_telephone
ja_刑事 en_detective
ja_レコード en_record
ja_レコード en_records
ja_秋田 en_akita
ja_上記 en_above
ja_トップ en_top
ja_付近 en_near
ja_リン en_lynn
ja_リン en_phosphorus
ja_輸送 en_transportation
ja_輸送 en_transport
ja_岐阜 en_gifu
ja_飛行 en_flight
ja_長崎 en_nagasaki
ja_メイン en_main
ja_メイン en_maine
ja_メイン en_primary
ja_ロード en_load
ja_エル en_elle
ja_札幌 en_sapporo
ja_ワールド en_world
ja_美術 en_art
ja_息子 en_sons
ja_息子 en_son
ja_制度 en_institution
ja_ツアー en_tour
ja_ツアー en_tours
ja_に関して en_concerning
ja_スタジオ en_studios
ja_スタジオ en_studio
ja_市民 en_citizens
ja_市民 en_citizenship
ja_市民 en_citizen
ja_松本 en_matsumoto
ja_同じく en_likewise
ja_自然 en_natural
ja_自然 en_nature
ja_マイル en_miles
ja_マイル en_mile
ja_組合 en_associations
ja_生徒 en_students
ja_生徒 en_pupil
ja_生徒 en_student
ja_ギター en_guitar
ja_アップ en_up
ja_転載 en_reposted
ja_コース en_course
ja_コース en_courses
ja_防衛 en_defense
ja_鹿児島 en_kagoshima
ja_変化 en_change
ja_アナウンサー en_announcer
ja_タイプ en_type
ja_議会 en_parliament
ja_石川 en_ishikawa
ja_パリ en_paris
ja_南部 en_nambu
ja_南部 en_southern
ja_経験 en_experienced
ja_経験 en_experience
ja_延長 en_extended
ja_延長 en_extend
ja_延長 en_extension
ja_ランド en_rand
ja_ランド en_land
ja_ランド en_lando
ja_条件 en_conditional
ja_条件 en_criteria
ja_条件 en_conditions
ja_条件 en_condition
ja_伝説 en_legend
ja_伝説 en_legendary
ja_ロンドン en_london
ja_本部 en_hq
ja_本部 en_headquarters
ja_フリー en_free
ja_競走 en_race
ja_競走 en_racing
ja_高橋 en_takahashi
ja_デジタル en_digital
ja_山田 en_yamada
ja_台湾 en_taiwan
ja_ポジション en_position
ja_ポジション en_positions
ja_紀元前 en_bc
ja_インド en_india
ja_吉田 en_yoshida
ja_東海 en_tokai
ja_名誉 en_honour
ja_名誉 en_honor
ja_ソング en_songs
ja_ソング en_song
ja_ライン en_line
ja_履歴 en_history
ja_方向 en_directions
ja_方向 en_direction
ja_方向 en_orientation
ja_法律 en_law
ja_法律 en_laws
ja_提案 en_suggest
ja_提案 en_suggestions
ja_提案 en_suggestion
ja_提案 en_proposal
ja_シティ en_city
ja_効果 en_effect
ja_効果 en_effects
ja_ミュージック en_music
ja_ヶ月 en_months
ja_予選 en_qualifying
ja_予選 en_qualifiers
ja_毎日 en_everyday
ja_解説 en_commentary
ja_解説 en_explanation
ja_解説 en_explanations
ja_解説 en_description
ja_レギュラー en_regular
ja_職業 en_job
ja_職業 en_occupations
ja_職業 en_profession
ja_職業 en_professions
ja_職業 en_occupation
ja_製品 en_product
ja_製品 en_products
ja_太郎 en_taro
ja_速度 en_velocity
ja_速度 en_speed
ja_角川 en_kadokawa
ja_入る en_maypole
ja_改正 en_amendments
ja_改正 en_revision
ja_近く en_near
ja_電子 en_electron
ja_電子 en_electrons
ja_徒歩 en_walk
ja_アイドル en_idle
ja_アイドル en_idol
ja_更新 en_update
ja_更新 en_refresh
ja_更新 en_updates
ja_配信 en_delivery
ja_配信 en_broadcast
ja_山本 en_yamamoto
ja_はじめ en_hajime
ja_仕事 en_job
ja_仕事 en_work
ja_連盟 en_confederation
ja_政策 en_policy
ja_政治家 en_politicians
ja_政治家 en_politician
ja_メディア en_media
ja_メディア en_medium
ja_図書館 en_libraries
ja_図書館 en_library
ja_ただ en_just
ja_外国 en_foreign
ja_艦隊 en_fleet
ja_艦隊 en_fleets
ja_支配 en_domination
ja_支配 en_ruling
ja_強い en_strong
ja_継承 en_succession
ja_継承 en_inheritance
ja_バージョン en_version
ja_バージョン en_versions
ja_ポイント en_points
ja_ポイント en_point
ja_温泉 en_onsen
ja_旅客 en_passenger
ja_方針 en_policy
ja_方針 en_policies
ja_執筆 en_writing
ja_タイム en_time
ja_年頃 en_circa
ja_基準 en_standards
ja_基準 en_standard
ja_基準 en_criteria
ja_化学 en_chemical
ja_化学 en_chemistry
ja_接続 en_connections
ja_接続 en_connection
ja_接続 en_connecting
ja_接続 en_connect
ja_勝ち en_win
ja_関東 en_kanto
ja_メーカー en_maker
ja_メーカー en_manufacturer
ja_学院 en_gakuin
ja_障害 en_disability
ja_小林 en_kobayashi
ja_ブル en_bull
ja_ホテル en_hotel
ja_ホテル en_hotels
ja_仕様 en_specifications
ja_仕様 en_specification
ja_仕様 en_specs
ja_将軍 en_general
ja_奈良 en_nara
ja_ビデオ en_video
ja_富山 en_toyama
ja_分割 en_splitting
ja_分割 en_split
ja_商業 en_commerce
ja_商業 en_commercial
ja_殺人 en_homicide
ja_殺人 en_murder
ja_スタイル en_styles
ja_スタイル en_style
ja_リング en_ring
ja_リング en_rings
ja_報告 en_report
ja_報告 en_reporting
ja_報告 en_reports
ja_マーク en_mark
ja_宣言 en_declare
ja_宣言 en_declaration
ja_キング en_king
ja_拡大 en_enlarge
ja_伊藤 en_ito
ja_伊藤 en_itō
ja_ハイ en_high
ja_ベル en_belle
ja_ベル en_bell
ja_提出 en_submit
ja_提出 en_submission
ja_入学 en_entrance
ja_入学 en_admission
ja_フォン en_fong
ja_フォン en_fon
ja_支持 en_endorsements
ja_支持 en_support
ja_復活 en_resurrection
ja_地震 en_earthquake
ja_地震 en_earthquakes
ja_博物館 en_museums
ja_博物館 en_museum
ja_週間 en_week
ja_週間 en_weeks
ja_週間 en_weekly
ja_機構 en_mechanism
ja_定義 en_definition
ja_定義 en_define
ja_定義 en_defining
ja_定義 en_definitions
ja_天皇 en_emperor
ja_ボー en_baud
ja_ボー en_bo
ja_日本人 en_japanese
ja_学部 en_faculties
ja_学部 en_faculty
ja_直接 en_directly
ja_投手 en_pitcher
ja_緯度 en_latitude
ja_阪神 en_hanshin
ja_カナダ en_canada
ja_カナダ en_canadian
ja_性格 en_character
ja_性格 en_personality
ja_ユニット en_units
ja_ユニット en_unit
ja_ピアノ en_piano
ja_良い en_good
ja_即時 en_immediate
ja_近い en_closer
ja_レベル en_levels
ja_レベル en_level
ja_三重 en_mie
ja_政権 en_regime
ja_達成 en_achieved
ja_達成 en_achievement
ja_見る en_see
ja_見る en_view
ja_空間 en_space
ja_新人 en_rookies
ja_規定 en_provisions
ja_同一 en_identical
ja_ライト en_light
ja_ライト en_wright
ja_ライト en_lights
ja_ヒット en_hits
ja_ヒット en_hit
ja_大分 en_oita
ja_大分 en_ōita
ja_ブルー en_blue
ja_流れ en_flow
ja_宮城 en_miyagi
ja_改造 en_alteration
ja_ガス en_gas
ja_作業 en_work
ja_作業 en_working
ja_貨物 en_cargo
ja_貨物 en_goods
ja_貨物 en_freight
ja_市場 en_market
ja_青森 en_aomori
ja_経度 en_longitude
ja_徳島 en_tokushima
ja_通算 en_lifetime
ja_サイズ en_sizes
ja_サイズ en_dimensions
ja_サイズ en_size
ja_翻訳 en_translating
ja_翻訳 en_translator
ja_翻訳 en_translation
ja_翻訳 en_translate
ja_翻訳 en_translations
ja_配置 en_placement
ja_配置 en_arrangement
ja_配置 en_alignment
ja_配置 en_deployment
ja_配置 en_placements
ja_新宿 en_shinjuku
ja_コード en_code
ja_米国 en_usa
ja_米国 en_us
ja_そこ en_there
ja_安全 en_safe
ja_安全 en_safety
ja_番目 en_second
ja_番目 en_third
ja_被害 en_damage
ja_侵害 en_infringement
ja_商品 en_goods
ja_商品 en_products
ja_商品 en_commodity
ja_商品 en_merchandise
ja_宮崎 en_miyazaki
ja_詳細 en_detailed
ja_詳細 en_details
ja_備考 en_remarks
ja_備考 en_notes
ja_単位 en_units
